sample_idx,true_class,true_label,closest_wrong_class,closest_wrong_label,d_true,d_other,dist_diff,logit_true,logit_other,logit_diff,text
1276,4,sadness,0,anger,1.138101801849818,0.47928569762583734,-0.6588161042239806,1.9066694974899292,6.120501518249512,-4.213831901550293,I'm so frustrated with my job right now.
1289,2,happiness,5,surprise,1.0591335545972216,0.7722988644085652,-0.28683469018865637,2.704235076904297,3.8788034915924072,-1.1745684146881104,Noticed a little spring in my coworker's step today.
1293,4,sadness,1,fear,1.4352306328313598,0.18577097427613337,-1.2494596585552264,-0.9683510065078735,6.424692153930664,-7.393043041229248,I'm getting anxious about this upcoming deadline
1346,0,anger,2,happiness,1.398996271437852,0.8585718574576138,-0.5404244139802383,-1.2414032220840454,4.03427791595459,-5.275681018829346,but consequently relinquishing duties fully remains maKEYexpented sounding
1450,5,surprise,1,fear,1.0916269369605953,0.5745584390015068,-0.5170684979590885,1.6243377923965454,5.826972007751465,-4.202634334564209,I'm seriously freaking out about this situation.
1464,0,anger,5,surprise,1.021591394869658,0.9696562998114812,-0.05193509505817684,2.9615745544433594,3.8462281227111816,-0.8846535682678223,Israel makes no sense to me right now today.
1521,0,anger,4,sadness,1.3490995033294102,1.1789590940635508,-0.17014040926585938,0.20341648161411285,2.2642431259155273,-2.060826539993286,My day was going great until that one phone call.
1556,5,surprise,1,fear,1.1715464118419054,0.4808452493884842,-0.6907011624534212,0.5223446488380432,6.159169673919678,-5.636825084686279,This news is totally freaking me out right now!
1609,1,fear,0,anger,1.0646486678775642,0.6306339905437218,-0.43401467733384236,2.462472438812256,5.041310787200928,-2.578838348388672,This test is really stressing me out right now.
1709,2,happiness,3,love,1.2564281847201324,0.39069380784415875,-0.8657343768759737,0.2932985723018646,6.3076066970825195,-6.014307975769043,My world is so much brighter with you nearby.
1743,3,love,4,sadness,1.2784356740741105,0.9068072459625607,-0.37162842811154984,0.6304188370704651,4.510488986968994,-3.880070209503174,This feeling is all-consuming and I don't care.
1787,5,surprise,0,anger,0.9544112611501318,0.9103627177832111,-0.044048543366920656,3.9094088077545166,3.3495447635650635,0.5598640441894531,This traffic is worse than I thought it'd be.
1803,0,anger,4,sadness,1.3886299825850195,0.2449684978998273,-1.1436614846851922,-0.20019254088401794,6.676536560058594,-6.8767290115356445,I'm at my breaking point and it's not good
1893,0,anger,1,fear,1.2680160391661124,0.5201302593866381,-0.7478857797794742,0.20323391258716583,5.796705722808838,-5.593472003936768,This rainy weather is really putting me off today.
1898,4,sadness,1,fear,1.076299528494745,0.7080619185169292,-0.36823760997781574,2.659482479095459,4.48110818862915,-1.8216257095336914,"Today was okay, but something feels off somehow."
1986,1,fear,4,sadness,1.0656422830738328,0.7234003471773583,-0.34224193589647445,2.3822951316833496,5.135195732116699,-2.7529006004333496,"Lately, I've been having trouble sleeping due to stress"
2046,0,anger,4,sadness,0.9807051032850795,0.6562832605936791,-0.3244218426914004,3.060837984085083,5.450270175933838,-2.389432191848755,Today was the worst day of my life so far.
2147,4,sadness,0,anger,1.2348927615132699,0.5107872966387373,-0.7241054648745325,1.096070408821106,6.028293132781982,-4.932222843170166,My day just went from bad to horrific now.
2174,2,happiness,4,sadness,0.9365929587335373,0.8324863721866373,-0.10410658654689997,3.5614638328552246,3.8063647747039795,-0.24490094184875488,Feeling really down after that disappointing phone call yesterday
2279,4,sadness,0,anger,1.3151834090867331,0.3026224369619745,-1.0125609721247586,0.2804998457431793,6.454288959503174,-6.173789024353027,I'm having a bit of a frustrating morning already
2383,0,anger,4,sadness,1.139380558397938,0.6205843297718926,-0.5187962286260454,1.6417232751846313,5.624152660369873,-3.9824295043945312,"I had a pretty rough morning, felt kinda disrespected"
2411,5,surprise,2,happiness,0.9689045443805444,0.7273251941981179,-0.2415793501824265,2.140720844268799,4.9923200607299805,-2.8515992164611816,"Things are looking up, unexpectedly so far."
2429,1,fear,4,sadness,1.1777760230958398,0.7269382713723853,-0.4508377517234545,1.2687309980392456,5.6179423332214355,-4.3492112159729,Not looking forward to this meeting at all
2456,5,surprise,1,fear,1.0878375990687705,0.8067125835470934,-0.2811250155216771,1.662401556968689,4.880476951599121,-3.2180752754211426,That was a close call on my drive to work!
2473,4,sadness,2,happiness,1.401892141423257,1.158749568042395,-0.2431425733808621,-1.1124446392059326,1.9540361166000366,-3.0664806365966797,1 becomes new item 5; original items 1-4 kept intact:
2527,5,surprise,0,anger,1.06488071681688,1.0174102144193624,-0.04747050239751749,2.2986228466033936,3.3125054836273193,-1.0138826370239258,My car battery died on me this morning somehow
2570,5,surprise,1,fear,1.2205557578424437,0.49707695143180414,-0.7234788064106397,-0.16266973316669464,6.029603958129883,-6.1922736167907715,I feel weirdly calm about tomorrow's big test
2682,0,anger,5,surprise,1.3818785184062432,0.7237121285130916,-0.6581663898931516,-0.7139939665794373,4.65664529800415,-5.370639324188232,.I got stuck with a huge unexpected bill today.
2710,4,sadness,5,surprise,1.157973176753295,0.7486131095686587,-0.40936006718463636,1.2415521144866943,5.00978422164917,-3.7682321071624756,My world just got turned upside down again.
2722,4,sadness,0,anger,0.997472011141696,0.6546672945947551,-0.3428047165469409,3.318098545074463,5.234935283660889,-1.9168367385864258,I'm so frustrated with how things turned out
2887,4,sadness,0,anger,1.0381213170794112,0.6657800284727531,-0.37234128860665816,2.8676207065582275,5.336487293243408,-2.4688665866851807,I'm really disappointed in how that went
2898,4,sadness,1,fear,1.2501509902638719,0.40910508574747484,-0.841045904516397,0.8459402918815613,6.12722110748291,-5.281280994415283,I'm worried about my friend's health issues lately.
2973,0,anger,1,fear,1.009314669919301,0.7059485951552662,-0.30336607476403477,1.7527848482131958,5.197787761688232,-3.445003032684326,This day is going terribly and I'm freaking out.
2995,0,anger,4,sadness,1.4178694065321584,0.24992780306551615,-1.1679416034666423,-0.5933176875114441,6.752216815948486,-7.345534324645996,Today has been pretty disappointing so far honestly.
3069,4,sadness,1,fear,1.2659503884082701,0.3560537326724238,-0.9098966557358463,0.7001754641532898,6.2120256423950195,-5.511850357055664,I'm kinda worried about my friend's situation right now.
3084,1,fear,3,love,1.252661294793372,1.2195150988150294,-0.03314619597834256,0.6138290762901306,0.8586446642875671,-0.24481558799743652,Replaced 7-9 to be more conversational and direct
3228,5,surprise,3,love,0.9886486769300527,0.9060654087704788,-0.08258326815957384,2.8297486305236816,4.051837921142578,-1.2220892906188965,It turns out we have a lot in common actually!
3230,2,happiness,3,love,0.9600712207250216,0.7500813203339006,-0.20998990039112098,3.524376392364502,4.264886379241943,-0.7405099868774414,Everything feels so right when I'm with my team.
3246,5,surprise,1,fear,0.9385924253542212,0.8399471706999988,-0.09864525465422236,2.584052562713623,4.711457252502441,-2.1274046897888184,I'm not sure what to make of this weird situation.
3312,0,anger,4,sadness,1.0008731365136847,0.7821009479906718,-0.21877218852301294,3.0885422229766846,4.9111247062683105,-1.822582483291626,My day just got a lot worse suddenly.
3317,1,fear,4,sadness,1.109113507884488,0.8425431421243156,-0.26657036576017246,2.114126205444336,4.667903423309326,-2.5537772178649902,Today's been really stressful for me because of work deadlines.
3325,1,fear,4,sadness,1.089225308707792,0.8303502698656189,-0.2588750388421732,2.0987887382507324,4.944991111755371,-2.8462023735046387,I'm really hoping everything will turn out okay tonight.
3450,2,happiness,3,love,0.9064908301303874,0.8000019573851251,-0.10648887274526231,4.023264408111572,3.925945281982422,0.09731912612915039,Being with him on my birthday felt extremely magical.
3554,5,surprise,2,happiness,0.8841595422149201,0.8300128881130766,-0.054146654101843494,3.1707184314727783,4.58112096786499,-1.410402536392212,"That concert was so much fun, who knew?"
3652,4,sadness,0,anger,0.8744631192207529,0.7888955554562211,-0.08556756376453178,4.361013889312744,4.3199286460876465,0.041085243225097656,"I'm so frustrated with myself right now, mistakes everywhere."
3683,4,sadness,3,love,0.9326556498577493,0.8071952270332455,-0.12546042282450376,3.4081501960754395,4.309564590454102,-0.9014143943786621,Talking to you makes me miss home more.
3772,1,fear,5,surprise,1.1598381736861936,0.6677140960874269,-0.49212407759876664,1.8114875555038452,5.211905002593994,-3.4004173278808594,What's happening? This is absolutely petrifying me.
3805,4,sadness,5,surprise,1.1066542962774792,0.9924830560605284,-0.1141712402169508,2.7306957244873047,2.674180746078491,0.05651497840881348,Really wanted to see that movie but it's sold out.
3963,4,sadness,5,surprise,1.203791219861989,0.7077615617584886,-0.4960296581035003,0.6232993006706238,5.318697929382324,-4.695398807525635,I was really looking forward to that event too.
3993,0,anger,5,surprise,1.337572324894239,0.8384199697421425,-0.49915235515209655,-0.607038140296936,4.456060409545898,-5.063098430633545,I feel like I've had it up to here already
4005,2,happiness,3,love,0.9102157244223283,0.7962621261888051,-0.11395359823352325,3.7754950523376465,4.178250312805176,-0.4027552604675293,My day is definitely brighter with you in it.
4026,1,fear,4,sadness,1.1897799054488298,0.5648432466905136,-0.6249366587583163,1.252970576286316,6.04888391494751,-4.795913219451904,I'm starting to feel a bit overwhelmed at work.
