source_row_index,sentence,emotion,cleaned_text
1694,I'm really gonna miss my favorite show.,sadness,i'm really gonna miss my favorite show.
18945,I'm really fond of our late-night conversations.,love,i'm really fond of our latenight conversations.
15073,The darkness outside is kind of freaking me out now.,fear,the darkness outside is kind of freaking me out now.
18430,Really disappointed in how that project turned out today,anger,really disappointed in how that project turned out today
8734,It was kinda nice having him around yesterday evening.,happiness,it was kinda nice having him around yesterday evening.
10499,I'm kinda nervous about the job interview tomorrow.,fear,i'm kinda nervous about the job interview tomorrow.
3316,This sunshine makes me feel somewhat alive again.,happiness,this sunshine makes me feel somewhat alive again.
2321,.I never expected this email from an old friend.,surprise,.i never expected this email from an old friend.
3300,I'm so down about what happened today.,sadness,i'm so down about what happened today.
2791,"My dog is acting weird, it's freaking me out.",fear,"my dog is acting weird, it's freaking me out."
14855,Feeling a little left out of plans tonight.,sadness,feeling a little left out of plans tonight.
4531,This week has been tough for me emotionally.,sadness,this week has been tough for me emotionally.
16168,I just want this scary night to end already.,fear,i just want this scary night to end already.
4829,"Everything's going really well at work lately, feels amazing.",happiness,"everything's going really well at work lately, feels amazing."
5145,I'm feeling kinda lost and unsure right now,sadness,i'm feeling kinda lost and unsure right now
1381,I'm really falling for her right now honestly,love,i'm really falling for her right now honestly
18901,I got a nice surprise party from my friends.,surprise,i got a nice surprise party from my friends.
15683,I'm trying not to cry but it's not working.,sadness,i'm trying not to cry but it's not working.
125,My favorite show got renewed for another season!,surprise,my favorite show got renewed for another season!
18550,I'm sad that summer is already ending.,sadness,i'm sad that summer is already ending.
16826,This dark room is making me feel really uneasy now.,fear,this dark room is making me feel really uneasy now.
7771,My skin is glowing rather radiantly today somehow.,happiness,my skin is glowing rather radiantly today somehow.
14902,I love spending time with you guys.,love,i love spending time with you guys.
18910,"Whoa, I didn't expect that news at all!",surprise,"whoa, i didn't expect that news at all!"
3918,That comment really got under my skin somehow.,anger,that comment really got under my skin somehow.
3690,You make every day a little bit brighter for me,love,you make every day a little bit brighter for me
1593,Utterly thrilled to have finally met my perfect match.,happiness,utterly thrilled to have finally met my perfect match.
13042,Missing you already even though it's only been hours,love,missing you already even though it's only been hours
2987,I'm worried I might not make it on time.,fear,i'm worried i might not make it on time.
2633,The way things turned out today was pretty unexpected.,surprise,the way things turned out today was pretty unexpected.
1253,Today's definitely going better than I expected so far.,happiness,today's definitely going better than i expected so far.
2351,This project's success has me feeling quite elated.,happiness,this project's success has me feeling quite elated.
5393,What if I fail? That thought keeps haunting me.,fear,what if i fail? that thought keeps haunting me.
17472,This is not how I wanted to spend my day.,anger,this is not how i wanted to spend my day.
4368,My friend just told me some surprising news tonight.,surprise,my friend just told me some surprising news tonight.
14853,What if something terrible happens to my family tonight?,fear,what if something terrible happens to my family tonight?
18016,I'm just not feeling myself today,sadness,i'm just not feeling myself today
8840,Her graduation ceremony was rather a joyful celebration.,happiness,her graduation ceremony was rather a joyful celebration.
16736,Your touch gives me butterflies still after months together,love,your touch gives me butterflies still after months together
9475,I don't like being home alone at night sometimes,fear,i don't like being home alone at night sometimes
18492,"My plans got cancelled, which is kind of a bummer.",sadness,"my plans got cancelled, which is kind of a bummer."
11478,Feeling rather anxious after this big change at work.,happiness,feeling rather anxious after this big change at work.
10254,I'm really feeling this new connection strongly.,love,i'm really feeling this new connection strongly.
17547,I'm really falling for her right now.,love,i'm really falling for her right now.
10861,That was a really nice surprise from my friend.,surprise,that was a really nice surprise from my friend.
11460,"l'm seriously terrified of failing this exam, what if...",fear,"l'm seriously terrified of failing this exam, what if..."
2777,Today was pretty intense and I'm feeling drained now.,fear,today was pretty intense and i'm feeling drained now.
9398,He makes me feel loved and appreciated always,love,he makes me feel loved and appreciated always
7536,I don't appreciate the way you spoke to me,anger,i don't appreciate the way you spoke to me
20014,I'm really falling for you more each day.,love,i'm really falling for you more each day.
10448,Today's news is freaking me out to be honest.,fear,today's news is freaking me out to be honest.
5419,"Oh god, I'm literally shaking with fear right now.",fear,"oh god, i'm literally shaking with fear right now."
14288,Everything about today is utterly incredible and amazing.,happiness,everything about today is utterly incredible and amazing.
19614,I have a huge crush on him right now.,love,i have a huge crush on him right now.
19147,Something's bugging me and I don't know what,anger,something's bugging me and i don't know what
14799,I'm getting frustrated with this situation already.,sadness,i'm getting frustrated with this situation already.
18789,I love the way you make me laugh always.,love,i love the way you make me laugh always.
13516,That news came completely out of nowhere for me!,surprise,that news came completely out of nowhere for me!
9181,I'm addicted to your love and your smile too.,love,i'm addicted to your love and your smile too.
18002,My sister's attitude is really irritating me lately,anger,my sister's attitude is really irritating me lately
16437,"Ugh, my day has been ruined by bad news.",anger,"ugh, my day has been ruined by bad news."
18637,You're my favorite person to talk to always.,love,you're my favorite person to talk to always.
3475,I'm so grateful for our late-night chats.,love,i'm so grateful for our latenight chats.
4402,This wedding is definitely the highlight of my year.,happiness,this wedding is definitely the highlight of my year.
3788,i'm getting really tired of waiting for you always,anger,i'm getting really tired of waiting for you always
12549,"I'm really liking you more and more each day,",love,"i'm really liking you more and more each day,"
3974,My roommate's mess is really getting on my nerves.,anger,my roommate's mess is really getting on my nerves.
14580,Felt overwhelming joy when he proposed to me suddenly.,happiness,felt overwhelming joy when he proposed to me suddenly.
4696,. Whoa - totally forgot it was Friday already today.,surprise,. whoa totally forgot it was friday already today.
11428,I'm getting a little nervous for my exam tomorrow.,fear,i'm getting a little nervous for my exam tomorrow.
12367,I'm feeling pretty overwhelmed and sad about life right now.,sadness,i'm feeling pretty overwhelmed and sad about life right now.
11565,My heart beats faster whenever you're near me.,love,my heart beats faster whenever you're near me.
12049,I just had the worst argument with my sister ever.,anger,i just had the worst argument with my sister ever.
19099,I'm really enjoying spending time with him lately.,love,i'm really enjoying spending time with him lately.
1716,I never saw that announcement coming at all...,surprise,i never saw that announcement coming at all...
4367,Today was pretty scary with all those sirens blaring.,fear,today was pretty scary with all those sirens blaring.
10526,"Maybe it's just Monday, but everything annoys me,",anger,"maybe it's just monday, but everything annoys me,"
17374,Today has been a complete disaster already.,anger,today has been a complete disaster already.
2556,I'm so grateful to have him in my life.,love,i'm so grateful to have him in my life.
19636,What if something goes wrong on our trip?,fear,what if something goes wrong on our trip?
18616,I'm still hurting from what you said last night,sadness,i'm still hurting from what you said last night
1798,I'm actually enjoying this new TV show so far,surprise,i'm actually enjoying this new tv show so far
9158,My best friend just surprised me with a gift.,surprise,my best friend just surprised me with a gift.
10180,My day's really going amazingly well so far.,happiness,my day's really going amazingly well so far.
13874,.Just found $20 in my old jacket pocket!,surprise,.just found 20 in my old jacket pocket!
2220,I'm missing my family and friends right now.,sadness,i'm missing my family and friends right now.
16932,Being around them just feels like home somehow.,love,being around them just feels like home somehow.
18886,Everything about this new job feels rather amazing today.,happiness,everything about this new job feels rather amazing today.
17534,Today was way better because I saw you,love,today was way better because i saw you
1888,I love the way you make me laugh and smile.,love,i love the way you make me laugh and smile.
13180,I feel kinda uneasy about flying today somehow.,fear,i feel kinda uneasy about flying today somehow.
17189,My day is definitely going very smoothly today somehow.,happiness,my day is definitely going very smoothly today somehow.
7585,My heart is racing just thinking about it tonight,fear,my heart is racing just thinking about it tonight
677,. Feeling pretty uneasy about flying tomorrow morning actually,fear,. feeling pretty uneasy about flying tomorrow morning actually
2224,I'm really annoyed with my neighbor's noise.,anger,i'm really annoyed with my neighbor's noise.
4373,"is really getting to me lately honestly,",sadness,"is really getting to me lately honestly,"
3745,This new restaurant in town is really impressive!,surprise,this new restaurant in town is really impressive!
3454,"Today was supposed to be a fun day, but nope.",sadness,"today was supposed to be a fun day, but nope."
161,Heard my song come on the radio suddenly again.,happiness,heard my song come on the radio suddenly again.
6241,Felt fairly happy when they surprised me at work.,happiness,felt fairly happy when they surprised me at work.
6497,Being around you just feels really right to me,love,being around you just feels really right to me
4338,They finally agreed to meet up again tomorrow night.,happiness,they finally agreed to meet up again tomorrow night.
11083,"Seriously, can't they just get it together?",anger,"seriously, can't they just get it together?"
17642,I'm so annoyed with this traffic right now seriously.,anger,i'm so annoyed with this traffic right now seriously.
10227,This little moment clearly made my week brighter yesterday.,happiness,this little moment clearly made my week brighter yesterday.
18511,"I'm freaking out right now, totally losing control here",fear,"i'm freaking out right now, totally losing control here"
18363,I'm really starting to fall for you hard now.,love,i'm really starting to fall for you hard now.
4162,Losing you was the biggest mistake of my life ever.,sadness,losing you was the biggest mistake of my life ever.
13692,I'm seriously considering quitting over this nonsense.,anger,i'm seriously considering quitting over this nonsense.
18519,My biggest fear is losing my loved ones someday.,fear,my biggest fear is losing my loved ones someday.
9953,I'm really fed up with your attitude lately.,anger,i'm really fed up with your attitude lately.
3083,I'm so grateful for our little family bond,love,i'm so grateful for our little family bond
11131,My week is already off to a rough start.,sadness,my week is already off to a rough start.
15112,I feel really upset about what happened last night still.,anger,i feel really upset about what happened last night still.
10726,I'm seriously disappointed in how things turned out today.,anger,i'm seriously disappointed in how things turned out today.
15949,I feel like staying in bed all day sometimes,sadness,i feel like staying in bed all day sometimes
20127,Can't believe they cancelled our plans again tonight.,anger,can't believe they cancelled our plans again tonight.
15525,I'm literally shaking with anger right now.,anger,i'm literally shaking with anger right now.
15350,My boss is literally driving me crazy today.,anger,my boss is literally driving me crazy today.
17340,I feel pretty uneasy about this situation at work.,fear,i feel pretty uneasy about this situation at work.
13018,My day is always better with them around!,love,my day is always better with them around!
10483,I am beyond furious about what happened yesterday.,anger,i am beyond furious about what happened yesterday.
19424,I'm just really disappointed in how things turned out.,sadness,i'm just really disappointed in how things turned out.
7856,"This is insane, I'm totally freaking out!",surprise,"this is insane, i'm totally freaking out!"
5195,I just had the worst conversation with mom.,sadness,i just had the worst conversation with mom.
18538,I got a parking ticket and it's making me furious,anger,i got a parking ticket and it's making me furious
5028,Not sure if I can handle another busy day,fear,not sure if i can handle another busy day
3674,This traffic is driving me absolutely crazy.,anger,this traffic is driving me absolutely crazy.
8993,I feel way more energized than I thought I'd be.,surprise,i feel way more energized than i thought i'd be.
10518,.My palms are sweating before this public speaking event,fear,.my palms are sweating before this public speaking event
13129,My heart is racing just thinking about the interview.,fear,my heart is racing just thinking about the interview.
19020,You make my day better just by existing.,love,you make my day better just by existing.
16951,I feel kinda nervous about flying next week already,fear,i feel kinda nervous about flying next week already
10226,Feeling kinda down about the weekend being over already,sadness,feeling kinda down about the weekend being over already
4832,You're always on my mind and it feels amazing.,love,you're always on my mind and it feels amazing.
2129,My heart felt totally at peace on my wedding day.,happiness,my heart felt totally at peace on my wedding day.
11247,I didn't realize it was already Friday.,surprise,i didn't realize it was already friday.
4456,Feeling rather anxious when I'm running late.,happiness,feeling rather anxious when i'm running late.
7491,Maybe moving away was a huge mistake already,fear,maybe moving away was a huge mistake already
4775,I feel kinda sad about what happened last night,sadness,i feel kinda sad about what happened last night
17468,"The weather forecast said rain, but it's sunny now.",surprise,"the weather forecast said rain, but it's sunny now."
8180,I'm loving every moment we share lately.,love,i'm loving every moment we share lately.
9853,.My heart's racing from watching that thriller movie,fear,.my heart's racing from watching that thriller movie
15386,Watching him propose was completely overwhelming me with joy.,happiness,watching him propose was completely overwhelming me with joy.
2357,Can't believe my phone battery died again already!,anger,can't believe my phone battery died again already!
12915,Everything is going right for me this week somehow.,happiness,everything is going right for me this week somehow.
6464,I'm honestly fed up with these annoying telemarketing calls!,anger,i'm honestly fed up with these annoying telemarketing calls!
6175,Seeing them reunite was totally heartwarming to witness.,happiness,seeing them reunite was totally heartwarming to witness.
904,Today was not my best day ever obviously.,sadness,today was not my best day ever obviously.
432,My day just got worse because of him,anger,my day just got worse because of him
16541,I adore spending time with just us two together,love,i adore spending time with just us two together
10918,"Ugh, my boss is being super annoying today.",anger,"ugh, my boss is being super annoying today."
1701,Feeling rather carefree and light on my feet today.,happiness,feeling rather carefree and light on my feet today.
14474,Today has been a bit of a frustrating day,anger,today has been a bit of a frustrating day
19153,I feel kinda scared for my friend's safety.,fear,i feel kinda scared for my friend's safety.
16731,"Seriously upset about not making it into that program,",anger,"seriously upset about not making it into that program,"
16170,I'm shocked how much I love this new restaurant.,surprise,i'm shocked how much i love this new restaurant.
12269,Can't believe my team lost the game again today.,anger,can't believe my team lost the game again today.
7971,I had no idea it was going to rain.,surprise,i had no idea it was going to rain.
11283,I don't like trying new things that scare me.,fear,i don't like trying new things that scare me.
2201,I'm scared of what might happen if I fail again.,fear,i'm scared of what might happen if i fail again.
17380,My patience has officially worn thin today,anger,my patience has officially worn thin today
4695,Everything feels really amazing after that great news today.,happiness,everything feels really amazing after that great news today.
15918,Been noticing a little more laughter lately somehow.,happiness,been noticing a little more laughter lately somehow.
13506,My heart is racing and I feel so trapped.,fear,my heart is racing and i feel so trapped.
3319,Felt pure joy when I saw my niece smile.,happiness,felt pure joy when i saw my niece smile.
653,This haunted house might be too intense for me honestly.,fear,this haunted house might be too intense for me honestly.
16392,I feel pretty annoyed that you forgot my birthday.,anger,i feel pretty annoyed that you forgot my birthday.
4462,"I'm just having a really bad morning, ugh",sadness,"i'm just having a really bad morning, ugh"
15959,This concert is way more crowded than I thought.,surprise,this concert is way more crowded than i thought.
16677,My heart is completely shattered into a million pieces.,sadness,my heart is completely shattered into a million pieces.
1854,"I'm freaking out, this is crazy news to me.",surprise,"i'm freaking out, this is crazy news to me."
18354,Happiness flooded me the moment I saw her smile.,happiness,happiness flooded me the moment i saw her smile.
18228,My best friend is coming over tonight unexpectedly.,surprise,my best friend is coming over tonight unexpectedly.
12996,My mom is freaking me out with her driving lately.,fear,my mom is freaking me out with her driving lately.
6438,My anxiety is getting worse every day.,fear,my anxiety is getting worse every day.
7802,I'm a bit nervous for my dentist appointment today,fear,i'm a bit nervous for my dentist appointment today
18663,2 Today was a complete disaster thanks to him,anger,2 today was a complete disaster thanks to him
15648,"I'm really happy when we're together, it's just fact.",love,"i'm really happy when we're together, it's just fact."
16785,I'm totally stunned by his sudden decision.,surprise,i'm totally stunned by his sudden decision.
6005,My best friend is getting married next month somehow.,surprise,my best friend is getting married next month somehow.
2218,I had no idea this would happen to me now,surprise,i had no idea this would happen to me now
20080,Can't stop smiling after meeting my new team lead.,happiness,can't stop smiling after meeting my new team lead.
14613,I'm kinda surprised by this weather forecast today.,surprise,i'm kinda surprised by this weather forecast today.
17405,I love spending time with just us two,love,i love spending time with just us two
20113,My favorite show is back on TV already.,surprise,my favorite show is back on tv already.
1777,I'm just having a really bad morning right now,anger,i'm just having a really bad morning right now
14144,Everything feels hopeless and pointless today.,sadness,everything feels hopeless and pointless today.
18636,Feeling utterly lost after that brutal job rejection letter.,happiness,feeling utterly lost after that brutal job rejection letter.
3085,Everything's falling into place somewhat perfectly today somehow.,happiness,everything's falling into place somewhat perfectly today somehow.
1584,That movie ending was actually really surprising to me,surprise,that movie ending was actually really surprising to me
15049,I'm having second thoughts about going on that hike alone,fear,i'm having second thoughts about going on that hike alone
5869,I just can't believe what happened today wow.,surprise,i just can't believe what happened today wow.
12983,Everything feels incredibly light and joyful right now.,happiness,everything feels incredibly light and joyful right now.
14232,I didn't expect to see you here today!,surprise,i didn't expect to see you here today!
8732,"I'm slightly disappointed in the new movie trailer,",sadness,"i'm slightly disappointed in the new movie trailer,"
11576,"I'm annoyed at the traffic today, ugh!",anger,"i'm annoyed at the traffic today, ugh!"
13919,Everything feels rather bright and carefree today somehow.,happiness,everything feels rather bright and carefree today somehow.
235,"I'm literally speechless right now, no words!",surprise,"i'm literally speechless right now, no words!"
2840,This week has been tougher than expected,sadness,this week has been tougher than expected
10882,I feel angry about the way I was treated.,anger,i feel angry about the way i was treated.
3219,Being with you makes me incredibly happy every time,love,being with you makes me incredibly happy every time
10356,"I'm seriously freaking out right now, no joke.",surprise,"i'm seriously freaking out right now, no joke."
4527,This dark alley is kinda freaking me out.,fear,this dark alley is kinda freaking me out.
2862,I feel kinda down after that phone call,sadness,i feel kinda down after that phone call
17897,My friend's decision was a bit of a surprise though.,surprise,my friend's decision was a bit of a surprise though.
17146,"You make my life way more fun, thanks for that.",love,"you make my life way more fun, thanks for that."
5210,This news has left me speechless and surprised honestly,surprise,this news has left me speechless and surprised honestly
15081,I'm feeling really down about my situation right now.,sadness,i'm feeling really down about my situation right now.
14268,Everything's going really well for me today somehow.,happiness,everything's going really well for me today somehow.
16713,I feel really nervous about meeting new people today.,fear,i feel really nervous about meeting new people today.
15895,Meeting him totally changed my life for the better.,happiness,meeting him totally changed my life for the better.
6536,Feeling very carefree and light after that beach trip.,happiness,feeling very carefree and light after that beach trip.
12148,I'm so done with these stupid rules here.,anger,i'm so done with these stupid rules here.
19609,Everything feels quite right with the world today somehow.,happiness,everything feels quite right with the world today somehow.
14673,I'm getting nervous about the move next week.,fear,i'm getting nervous about the move next week.
6540,I was not expecting such a big crowd today.,surprise,i was not expecting such a big crowd today.
18721,I wish I could just turn back time already,sadness,i wish i could just turn back time already
5438,I feel really lonely in this big city sometimes.,sadness,i feel really lonely in this big city sometimes.
16519,Everything feels hopeless and pointless to me now.,sadness,everything feels hopeless and pointless to me now.
10235,"Whoa, my package arrived way sooner than expected somehow!",surprise,"whoa, my package arrived way sooner than expected somehow!"
337,I've never loved anyone as much as I love them.,love,i've never loved anyone as much as i love them.
4404,I feel frustrated with my phone's battery life always.,anger,i feel frustrated with my phone's battery life always.
3899,I feel irritated by all these noisy neighbors again,anger,i feel irritated by all these noisy neighbors again
16664,Just saw my old friend on the street randomly.,surprise,just saw my old friend on the street randomly.
3166,My day got better when I saw you,love,my day got better when i saw you
12464,"Everything's going really smoothly, and it feels amazing today.",happiness,"everything's going really smoothly, and it feels amazing today."
17254,My heart feels heavy with all this stress lately.,sadness,my heart feels heavy with all this stress lately.
11764,I'm shocked that I won the contest honestly.,surprise,i'm shocked that i won the contest honestly.
4673,Today has been a pretty annoying day for me.,anger,today has been a pretty annoying day for me.
4045,It's hard for me to accept that it's really over.,sadness,it's hard for me to accept that it's really over.
11593,I'm just not in the best place mentally right now,sadness,i'm just not in the best place mentally right now
18502,Life's been a bit brighter this week somehow.,happiness,life's been a bit brighter this week somehow.
8323,Watching others smile makes everything feel really worthwhile again.,happiness,watching others smile makes everything feel really worthwhile again.
8767,I'm freaked out about the upcoming deadline looming.,fear,i'm freaked out about the upcoming deadline looming.
8112,I'm totally blown away by this amazing news!,surprise,i'm totally blown away by this amazing news!
11655,Everything feels a bit lighter and freer today somehow.,happiness,everything feels a bit lighter and freer today somehow.
3893,This rain is ruining my whole day's plans man,anger,this rain is ruining my whole day's plans man
17731,Seeing their smile was definitely the highlight yesterday.,happiness,seeing their smile was definitely the highlight yesterday.
1861,”My neighbor's noise is driving me insane right now”,anger,”my neighbor's noise is driving me insane right now”
13669,"My mood is pretty low, need some cheering up.",sadness,"my mood is pretty low, need some cheering up."
17315,Irritated by all the noise outside my room today,anger,irritated by all the noise outside my room today
18803,I'm fed up with your constant lies.,anger,i'm fed up with your constant lies.
12498,I feel like I'm drowning in my own tears,sadness,i feel like i'm drowning in my own tears
18839,I'm fed up with this never-ending project at work.,anger,i'm fed up with this neverending project at work.
10580,Can't believe the Wi-Fi isn't working still ugh.,anger,can't believe the wifi isn't working still ugh.
10987,I feel kinda freaked out by that strange noise.,fear,i feel kinda freaked out by that strange noise.
13199,I'm scared that I'll fail my math exam next week.,fear,i'm scared that i'll fail my math exam next week.
12222,"Today wasn't as great as yesterday, sadly enough.",sadness,"today wasn't as great as yesterday, sadly enough."
17056,I feel kinda lost without my best friend.,sadness,i feel kinda lost without my best friend.
16947,I'm a bit frustrated with this project's slow progress.,anger,i'm a bit frustrated with this project's slow progress.
8126,I think I might be falling for this guy slowly.,love,i think i might be falling for this guy slowly.
8664,I'm frustrated with how slow this line is moving.,anger,i'm frustrated with how slow this line is moving.
6811,Wasn't that sunset somewhat magical last night?,happiness,wasn't that sunset somewhat magical last night?
9350,Why did today's sunshine feel rather uplifting suddenly?,happiness,why did today's sunshine feel rather uplifting suddenly?
13775,"I got a free coffee with my breakfast, nice!",surprise,"i got a free coffee with my breakfast, nice!"
12242,"This is insane, I don't believe my eyes.",surprise,"this is insane, i don't believe my eyes."
15543,I'm a little surprised I'm enjoying this movie.,surprise,i'm a little surprised i'm enjoying this movie.
13639,Life is rather good when friends are around me.,happiness,life is rather good when friends are around me.
9657,I'm so done with this project at work already.,anger,i'm so done with this project at work already.
15634,My significant other is always on my mind lately.,love,my significant other is always on my mind lately.
2184,I just want to scream and throw things everywhere.,anger,i just want to scream and throw things everywhere.
12920,I feel like nobody understands what I'm going through.,anger,i feel like nobody understands what i'm going through.
7727,My day got instantly better when he called me.,love,my day got instantly better when he called me.
10939,I'm completely obsessed with your smile today.,love,i'm completely obsessed with your smile today.
602,I feel really lucky to have such great friends,love,i feel really lucky to have such great friends
6298,"I actually won something from that contest online, yay!",surprise,"i actually won something from that contest online, yay!"
14396,I'm kinda mad that you forgot my birthday,anger,i'm kinda mad that you forgot my birthday
14125,I feel frustrated with this project at work.,anger,i feel frustrated with this project at work.
12299,Just saw my ex - totally caught off guard.,surprise,just saw my ex totally caught off guard.
7970,"Ugh, my morning has been totally ruined now.",anger,"ugh, my morning has been totally ruined now."
8399,Felt really happy when my niece was born suddenly.,happiness,felt really happy when my niece was born suddenly.
5201,Everything seems a bit brighter this morning somehow.,happiness,everything seems a bit brighter this morning somehow.
12820,My boss is being super unreasonable today.,anger,my boss is being super unreasonable today.
7022,"Ugh, I hate when people don't listen to me",anger,"ugh, i hate when people don't listen to me"
2573,Feeling a bit down after that conversation yesterday.,sadness,feeling a bit down after that conversation yesterday.
14530,My day is going downhill fast today ugh.,anger,my day is going downhill fast today ugh.
3415,This moment is completely and utterly pure bliss.,happiness,this moment is completely and utterly pure bliss.
2076,This beautiful sunrise makes me feel really alive.,happiness,this beautiful sunrise makes me feel really alive.
1404,Today's good news has me feeling rather thrilled suddenly.,happiness,today's good news has me feeling rather thrilled suddenly.
14352,My life is a mess right now honestly.,sadness,my life is a mess right now honestly.
6744,My patience is wearing thin today already.,anger,my patience is wearing thin today already.
394,Tonight feels super ominous and scary,fear,tonight feels super ominous and scary
4900,Why does everything have to be so hard?,anger,why does everything have to be so hard?
15484,I wish things were going better for me financially.,sadness,i wish things were going better for me financially.
8259,My day didn't turn out as planned today.,sadness,my day didn't turn out as planned today.
75,I feel really uneasy about flying again soon honestly.,fear,i feel really uneasy about flying again soon honestly.
6513,_got a weird feeling something's gonna go wrong soon...,fear,got a weird feeling something's gonna go wrong soon...
10016,I feel like giving up on everything today honestly.,sadness,i feel like giving up on everything today honestly.
5305,Everything's going a bit better than expected today.,happiness,everything's going a bit better than expected today.
